Task ID,App,Type,Issue #,Input Combo,Issue Description,WCAG Criterion,Severity,Manually Observed,Emulator Artifact,Verified on Real Device,Claude (Events),Claude (Trees),Claude (Events + User Actions),Claude (Events + User Actions + Trees),Codex (Events),Codex (Trees),Codex (Events + User Actions),Codex (Events + User Actions + Trees),Notes
AM2,Amazon,Stressful,1,Events only,Filter chips announce "Double-tap to activate" as sole accessible name — no descriptive label,4.1.2 Name Role Value (A),High,N,N,,Y,,,,,,,,"event_seq 8: resource_id=""1253506011"" label=""Double-tap to activate"" announcement:[""Double-tap to activate""]. Same pattern at event_seq 10, 13, 30, 40, 42, 44, 48, 55, 56."
AM2,Amazon,Stressful,2,Events only,Filter chip announces <no_feedback> — completely empty accessible name,1.1.1 Non-text Content (A); 4.1.2 Name Role Value (A),High,N,N,,Y,,,,,,,,"event_seq 12: resource_id=""gif"" label="""" announcement:[""<no_feedback>""]. event_seq 47: resource_id=""2266979011"" class=""android.widget.Button"" announcement:[""<no_feedback>""]."
AM2,Amazon,Stressful,3,Events only,Two distinct filter categories merged into single focusable element with duplicate position indices,1.3.1 Info and Relationships (A),High,N,N,,Y,,,,,,,,"event_seq 36: ""collapsed, Brands, button, 5 of 13"" AND ""collapsed, Noise Control, button, 5 of 13"" in same focus announcement. event_seq 49: ""Features, 10 of 13"" AND ""Compatible Devices, 10 of 13"" simultaneously."
AM2,Amazon,Stressful,4,Events only,Close button in All Filters modal has zero touch target height,2.5.8 Minimum Target Size (AA),Medium,N,N,,Y,,,,,,,,"event_seq 21: class=""android.widget.Button"" label=""close"" bounds:{x:945, y:294, w:118, h:0}. Same at event_seq 23."
AM2,Amazon,Stressful,5,Events only,Raw URL announced as accessible name for browser tab element,4.1.2 Name Role Value (A),Medium,N,N,,Y,,,,,,,,"event_seq 65: label=""ref=sr_1_1_sspa?ie=UTF8&psc=1&spc=MTozMTY0..."" announcement:[""ref=sr_1_1_sspa?..."", ""Your Amazon.com Tab 2 of 4"", ""Double-tap to activate""]."
AM2,Amazon,Stressful,1,Trees only,Bottom navigation tabs (ActionBar$Tab) have no accessible name on interactive parent element,4.1.2 Name Role Value (A),Medium,N,N,,,,Y,,,,,,"start_2026-05-26T17-17-57-813.json: 4 × androidx.appcompat.app.ActionBar$Tab with contentDescription="""" isClickable=true. Children carry labels (""Home Tab 1 of 4"" etc.) but are not the focusable parent."
AM2,Amazon,Stressful,2,Trees only,"View Sponsored information or leave ad feedback" button below minimum touch target height (142×40px ≈ 14dp height),2.5.8 Minimum Target Size (AA),Medium,N,N,,,,Y,,,,,,"start/tree_2026-05-26T17-18-04-864.json: android.widget.Button contentDescription=""View Sponsored information or leave ad feedback"" boundsInScreen width=142 height=40 (~14dp at ~2.75× density)."
AM2,Amazon,Stressful,3,Trees only,Large unlabeled clickable view in search results area (1084×1667px no contentDescription),4.1.2 Name Role Value (A),High,N,N,,,,Y,,,,,,"start_2026-05-26T17-17-57-813.json: android.view.View contentDescription="""" text="""" isClickable=true boundsInScreen 0,0–1084×1667. Consistent across all tree snapshots."
AM2,Amazon,Stressful,4,Trees only,Product listing link elements have near-zero touch target height (18px) in search results,2.5.8 Minimum Target Size (AA),Low,N,N,,,,Y,,,,,,"tree_2026-05-26T17-19-40-747.json: android.view.View label=""DOQAUS Bluetooth Headphones Over Ear Wireless"" boundsInScreen height=18. Also ""DOQAUS Over-Ear Bluetooth Headphones with..."" height=18."
AM2,Amazon,Stressful,1,Events + User Actions,Filter chips announce "Double-tap to activate" as sole accessible name — no descriptive label,4.1.2 Name Role Value (A),High,N,N,,,,,Y,,,,,"event_seq 8: label=""Double-tap to activate"" announcement:[""Double-tap to activate""] during user swipe_right (action_index 110–124). User navigated past 8+ chips with this uninformative announcement."
